Fecha,Titulo_ES,Año,Mi Nota
2025-01-01,Cómo entrenar a tu dragón,2010,9
2025-01-01,La Escuela del Bien y del Mal,2022,8.5
2025-01-01,El proyecto Adam,2022,8
2025-01-01,Spider-Man: Homecoming,2017,7.5
2025-01-02,Spider-Man: Lejos de casa,2019,7.5
2025-01-02,Spider-Man: No Way Home,2021,8
2025-01-02,Misión: Imposible - Sentencia mortal. Parte Uno,2023,8
2025-01-03,Ready Player One,2018,8
2025-01-04,Men In Black: International,2019,8.5
2025-01-05,Blade Runner 2049,2017,7
2025-01-05,Capitán América: Civil War,2016,8
2025-01-05,Capitán América: El Soldado de Invierno,2014,8
2025-01-05,Marvel Los Vengadores,2012,8.5
2025-01-06,Vengadores: La era de Ultrón,2015,9
2025-01-07,The Rescue: Equipo de Rescate,2020,6.5
2025-01-07,El peor vecino del mundo,2022,9
2025-01-08,Capitán América: El primer vengador,2011,9.5
2025-01-08,Ant-Man,2015,8
2025-01-08,Doctor Strange. Doctor Extraño,2016,8
2025-01-09,Ant-Man y la Avispa,2018,8.5
2025-01-09,Ant-Man y la Avispa: Quantumanía,2023,8
2025-01-09,Juego de ladrones: El atraco perfecto,2018,8
2025-01-10,Juego de ladrones: Pantera,2025,7.5
2025-01-10,Viuda Negra,2021,7.5
2025-01-11,Guardianes de la Galaxia Vol. 3,2023,8.5
2025-01-11,El show de Truman,1998,7
2025-01-13,65,2023,7
2025-01-14,Ice Road: Venganza,2025,7.5
2025-01-14,Sin señal,2022,6.5
2025-01-14,Blancanieves y la leyenda del cazador,2012,8
2025-01-16,Mentiroso compulsivo,1997,7
2025-01-16,Espías,2015,7.5
2025-01-17,iBoy,2017,8.5
2025-01-18,Alien: Romulus,2024,9
2025-01-21,Thor,2011,8
2025-01-24,Heretic (Hereje),2024,8
2025-01-24,La fiebre de los ricos,2024,7
2025-02-11,La quinta ola,2016,8
2025-02-14,Capitán América: Brave New World,2025,8
2025-02-15,Jurassic Park (Parque Jurásico),1993,9
2025-02-15,El mundo perdido: Jurassic Park,1997,8
2025-02-16,Jurassic Park III (Parque Jurásico III),2001,7.5
2025-02-16,Jurassic World: Dominion,2022,7
2025-02-18,El abismo secreto,2025,8
2025-02-24,Cónclave,2024,8.5
2025-02-28,Amenaza en el aire,2025,3
2025-03-03,A Complete Unknown,2024,7.5
2025-03-08,Anora,2024,7
2025-03-08,Pixels,2015,7.5
2025-03-09,El gato con botas,2011,7.5
2025-03-09,El gato con botas: El último deseo,2022,9.5
2025-03-09,Corte en el tiempo,2024,6.5
2025-03-09,Resident Evil,2002,7.5
2025-03-09,Resident Evil 2: Apocalipsis,2004,7.5
2025-03-09,Resident Evil: Extinción,2007,7.5
2025-03-09,Resident Evil: Ultratumba,2010,6
2025-03-10,Resident Evil: Vendetta,2017,7
2025-03-10,Resident Evil: Capítulo final,2016,7
2025-03-10,"Flow, un mundo que salvar",2024,8
2025-03-10,The Babysitter,2017,7
2025-03-10,The Babysitter: Killer Queen,2020,8
2025-03-10,Mickey 17,2025,8
2025-03-10,Transformers One,2024,8
2025-03-11,El Día del Sí,2021,7
2025-03-11,Viaje al centro de la Tierra,2008,7
2025-03-11,Viaje al centro de la Tierra 2: La isla misteriosa,2012,7
2025-03-11,Tron: Legacy,2010,8.5
2025-03-12,Dredd,2012,8
2025-03-12,El exorcista del papa,2023,8
2025-03-14,Estado eléctrico,2025,9
2025-03-14,The King's Man: La primera misión,2021,6.5
2025-03-16,Operación U.N.C.L.E.,2015,7
2025-03-17,El juego de Ender,2013,8
2025-03-21,Blancanieves,2025,7
2025-03-22,O'Dessa,2025,7
2025-03-22,Chappie,2015,8
2025-03-23,Novocaine,2025,8.5
2025-03-23,The Alto Knights,2025,7
2025-03-23,Black Adam,2022,7
2025-03-24,Tomorrowland: El mundo del mañana,2015,8
2025-03-28,A Working Man,2025,8
2025-03-29,Pacific Rim: Insurrección,2018,8
2025-03-29,Big Hero 6,2014,9
2025-03-29,Origen,2010,6.5
2025-03-30,Río,2011,8
2025-03-30,Río 2,2014,6.5
2025-04-01,La guerra del mañana,2021,8.5
2025-04-01,Safe,2012,8
2025-04-02,Muere otra vez,2020,7.5
2025-04-04,Una película de Minecraft,2025,9
2025-04-05,El contable,2016,8.5
2025-04-06,Minority Report,2002,8
2025-04-07,Guillermo Tell,2024,7.5
2025-04-09,Jurado Nº 2,2024,6.5
2025-04-11,Amateur,2025,7.5
2025-04-12,G20,2025,7
2025-04-13,La cita,2025,7
2025-04-14,Tenet,2020,7
2025-04-17,Los pecadores,2025,8.5
2025-04-17,Rey Arturo: La leyenda de Excalibur,2017,8
2025-04-18,Warfare: Tiempo de guerra,2025,8
2025-04-19,La gran apuesta,2015,7
2025-04-21,IRehén,2025,8
2025-04-22,Pokémon: Detective Pikachu,2019,7.5
2025-04-23,Confidencial (Black Bag),2025,7
2025-04-25,El contable 2,2025,8
2025-04-25,Estragos,2025,7.5
2025-04-27,Until Dawn,2025,8
2025-04-30,Thunderbolts*,2025,8.5
2025-05-02,Pánico en el tren bala,2025,8
2025-05-02,Exterritorial,2025,9
2025-05-09,Tierras perdidas,2025,7
2025-05-10,Espíritu libre,2023,9
2025-05-13,Geostorm,2017,7.5
2025-05-14,Los juegos del hambre: Balada de pájaros cantores y serpientes,2023,8
2025-05-14,Despierta la furia,2021,7.5
2025-05-14,Puñales por la espalda: El misterio de Glass Onion,2022,7
2025-05-15,El código Da Vinci,2006,8
2025-05-15,Ángeles y demonios,2009,8
2025-05-17,Inferno,2016,6.5
2025-05-17,SAS: El ascenso del Cisne Negro,2021,7
2025-05-17,Death Race: La carrera de la muerte,2008,8
2025-05-18,2012,2009,7
2025-05-18,American Assassin,2017,8.5
2025-05-20,Tomb Raider,2018,8
2025-05-20,Ted,2012,8
2025-05-20,Men in Black (Hombres de negro),1997,9
2025-05-21,Ted 2,2015,7
2025-05-21,Men in Black II (Hombres de negro II),2002,7
2025-05-21,Men in Black 3,2012,7
2025-05-21,Plan oculto,2006,9
2025-05-21,Lucy,2014,8
2025-05-22,Tau,2018,8
2025-05-22,Misión: Imposible - Sentencia mortal. Parte Uno,2023,8.5
2025-05-22,Beekeeper: El protector,2024,8
2025-05-23,Misión: Imposible - Sentencia final,2025,9
2025-05-27,Destino final: Lazos de sangre,2025,8.5
2025-05-31,Venganza,2008,7
2025-06-01,Batman Begins,2005,9
2025-06-02,El caballero oscuro,2008,9
2025-06-02,Twisters,2024,8
2025-06-02,Salt,2010,8.5
2025-06-03,Los juegos del hambre,2012,9
2025-06-03,Los juegos del hambre: En llamas,2013,8
2025-06-03,Los juegos del hambre: Sinsajo - Parte 1,2014,8
2025-06-03,Los juegos del hambre: Sinsajo - Parte 2,2015,8.5
2025-06-05,Blindado,2025,6
2025-06-05,The Equalizer (El protector),2014,8.5
2025-06-07,Ballerina,2025,9.5
2025-06-07,Lilo y Stitch,2025,9
2025-06-07,The Equalizer 2,2018,8
2025-06-08,Predator,2018,9
2025-06-09,Divergente,2014,8
2025-06-09,La serie Divergente: Insurgente,2015,8
2025-06-09,La serie Divergente: Leal,2016,8
2025-06-10,La muerte del unicornio,2025,6
2025-06-12,Cómo entrenar a tu dragón,2025,10
2025-06-14,Asesinos de élite,2011,7.5
2025-06-14,Fall,2022,7
2025-06-16,Cómo entrenar a tu dragón 2,2014,9.5
2025-06-17,Cómo entrenar a tu dragón,2025,10
2025-06-19,28 semanas después,2007,6.5
2025-06-20,28 años después,2025,4.5
2025-06-20,Sisu,2022,7
2025-06-23,The Equalizer 3,2023,8.5
2025-06-24,La vieja guardia,2020,8.5
2025-06-25,Pánico nuclear,2002,8
2025-06-26,Las guerreras K-pop,2025,7
2025-06-27,Gran Turismo,2023,8
2025-06-29,F1® La película,2025,8.5
2025-07-02,Jurassic World: El renacer,2025,8
2025-07-02,La vieja guardia 2,2025,7
2025-07-11,Superman,2025,4.5
2025-07-12,Robot salvaje,2024,9.5
2025-07-13,Cómo entrenar a tu dragón 3,2019,9
2025-07-13,Como entrenar tu dragón: vuelta a casa,2019,9
2025-07-14,El muro negro,2025,6
2025-07-16,Sonic 3: La película,2024,8.5
2025-07-16,Drácula: La leyenda jamás contada,2014,6.5
2025-07-17,La primera purga: La noche de las bestias,2018,8
2025-07-17,Cómo entrenar a tu dragón,2025,10
2025-07-18,The Batman,2022,9
2025-07-19,Star Wars: Episodio I - La amenaza fantasma,1999,7.5
2025-07-19,Star Wars: Episodio II - El ataque de los clones,2002,7.5
2025-07-20,Star Wars: Episodio III - La venganza de los sith,2005,9.5
2025-07-20,Star Wars: The Clone Wars,2008,8
2025-07-21,Star Wars: Episodio V - El imperio contraataca,1980,8
2025-07-22,Star Wars: Episodio VI - El retorno del jedi,1983,8
2025-07-22,Han Solo: Una historia de Star Wars,2018,8
2025-07-22,Star Wars: Episodio VII - El despertar de la Fuerza,2015,10
2025-07-22,Star Wars. Episodio VIII: Los últimos jedi,2017,10
2025-07-23,Star Wars: Episodio IX - El ascenso de Skywalker,2019,8
2025-07-23,Rogue One: Una historia de Star Wars,2016,9
2025-07-23,Sé lo que hicisteis el último verano,2025,5
2025-07-25,Los 4 Fantásticos: Primeros pasos,2025,9
2025-07-29,Los 4 Fantásticos: Primeros pasos,2025,7.5
2025-07-31,Los tipos malos,2022,9.5
2025-08-01,Los tipos malos 2,2025,9
2025-08-06,Los tipos malos 2,2025,9
2025-08-09,Nadie,2021,8
2025-08-17,Nadie 2,2025,7.5
2025-08-21,La noche siempre llega,2025,5.5
2025-08-25,Poker Face,2022,8.5
2025-08-26,Interstellar,2014,9.5
2025-08-28,Dune: Parte dos,2024,9.5
2025-08-30,V de vendetta,2005,10
2025-08-31,Sin oxígeno,2025,9
2025-09-01,The Core (El núcleo),2003,8.5
2025-09-07,"13 días, 13 noches",2025,8
2025-09-13,Ad Astra,2019,7.5
2025-09-19,Deep Impact,1998,8.5
2025-09-21,Afterburn (Zona cero),2025,6
2025-09-26,Sketch. Cuidado con lo que dibujas,2024,6
2025-10-03,The Smashing Machine,2025,6
2025-10-05,Tron: Legacy,2010,9
2025-10-07,Declaración de Emergencia,2021,7
2025-10-09,Tron: Ares,2025,9
2025-10-12,Amateur,2025,8
2025-10-12,Deadpool y Lobezno,2024,9
2025-10-19,La LEGO película,2014,9
2025-10-20,La LEGO película 2,2019,8.5
2025-10-25,Una casa llena de dinamita,2025,8.5
2025-10-31,A pesar de ti,2025,9
2025-11-05,Las Ratas: Una historia de the Witcher,2025,7.5
2025-11-07,Predator: Badlands,2025,9.5
2025-11-11,Frankenstein,2025,8
2025-03-29,Adolescencia,2025,3
2025-05-19,Alice in Borderland,2020,8
2025-08-13,Alien: Planeta Tierra,2025,7.5
2025-10-10,Arcane,2021,10
2025-04-05,Cómo sobrevivimos a la caída de los Black Hawk,2025,6.5
2025-07-20,Star Wars: Crónicas del Imperio,2024,8.5
2025-05-28,Dexter,2006,8
2025-07-04,Dragones: Hacia nuevos confines,2015,9.5
2025-06-28,Dragones: Los jinetes de Mema,2012,8
2025-06-30,El juego del calamar,2021,7
2025-08-23,El ocaso de los dioses,2024,8
2025-03-25,High Potential,2024,7.5
2025-08-13,Juego de tronos,2011,9.5
2025-08-21,La plataforma,2023,7
2025-07-20,Star Wars: Las crónicas jedi,2022,8
2025-08-02,Miércoles,2022,8
2025-07-20,Obi-Wan Kenobi,2022,7.5
2025-01-11,Ojo de Halcón,2021,7.5
2025-03-05,Reacher,2022,8
2025-09-04,S.W.A.T.: Los hombres de Harrelson,2017,7.5
2025-01-06,Shōgun,2024,7.5
2025-01-17,Silo,2023,8
2025-10-12,Stranger Things,2016,9
2025-03-16,Sweet Home,2020,6
2025-01-24,Flash,2023,7
2025-04-14,The Last of Us,2023,9.5
2025-07-18,The Mandalorian,2019,8.5
2025-03-08,The Rookie,2018,7.5
2025-11-06,The Umbrella Academy,2019,8
2025-04-26,The Witcher,2019,9
2025-02-12,Vikingos,2013,8
2025-02-11,Whiskey on the Rocks,2024,7
2025-11-13,Juego de niños,2025,7
2025-11-14,Ahora me ves 3,2025,8
2025-11-16,Jungle Cruise,2021,8.5
2025-11-17,La larga marcha,2025,8
2025-11-19,Ambulance - Plan de huida,2022,7
2025-11-20,Prisioneros,2013,8
2025-11-21,Wicked: Parte II,2025,3
2025-11-22,En tierra hostil,2008,7
2024-01-27,Cualquiera menos tú,2023,7.5
2024-01-28,Pobres criaturas,2023,3
2024-01-29,Miller's Girl,2024,8
2024-02-01,Pobres criaturas,2023,3
2024-02-02,Argylle,2024,8
2024-02-14,Madame Web,2024,6.5
2024-03-01,Dune: Parte dos,2024,9
2024-03-08,Kung Fu Panda 4,2024,7
2024-03-27,Los niños de Winton,2023,7
2024-03-28,Godzilla y Kong: El nuevo imperio,2024,8.5
2024-04-05,Freelance,2023,5
2024-04-12,Menudas piezas,2024,7.5
2024-04-19,Civil War,2024,8
2024-04-21,Abigail,2024,9
2024-04-28,El especialista,2024,6.5
2024-05-01,Immaculate,2024,8
2024-05-10,El reino del planeta de los simios,2024,9
2024-05-12,Tarot,2024,7.5
2024-06-02,Furiosa: De la saga Mad Max,2024,8
2024-06-02,Amigos imaginarios,2024,7
2024-06-04,Arthur,2024,8
2024-06-14,Respira,2024,7
2024-06-17,Hit Man. Asesino por casualidad,2023,5.5
2024-06-20,Del revés 2,2024,7
2024-06-26,Bad Boys: Ride or Die,2024,6.5
2024-06-27,Un lugar tranquilo: Día 1,2024,8
2024-07-03,Gru 4: Mi villano favorito,2024,6.5
2024-07-07,Kill Boy,2023,8
2024-07-14,Fly Me to the Moon,2024,8.5
2024-07-14,Strangers. Capítulo 1,2024,2
2024-07-17,Twisters,2024,9
2024-07-25,Deadpool y Lobezno,2024,9.5
2024-08-07,Deadpool y Lobezno,2024,9.5
2024-08-09,La trampa,2024,8
2024-08-09,Borderlands,2024,8
2024-08-15,Alien: Romulus,2024,10
2024-08-18,Alien: Romulus,2024,10
2024-08-28,MaXXXine,2024,8
2024-08-30,DIAbólica,2024,8
2024-09-01,El Cuervo. The Crow,2024,7.5
2024-09-04,Un regalo para papá y mamá,2024,7
2024-09-06,Bitelchús Bitelchús,2024,6
2024-09-22,Transformers One,2024,9.5
2024-09-22,Juega o muere,2023,2.5
2024-10-04,Joker: Folie à Deux,2024,5.5
2024-10-11,Robot salvaje,2024,10
2024-10-13,Robot salvaje,2024,10
2024-10-18,Smile 2,2024,3.5
2024-10-22,La infiltrada,2024,8
2024-10-25,Venom: El último baile,2024,8.5
2024-11-01,Terrifier 3,2024,7.5
2024-11-08,Red One,2024,8.5
2024-11-10,Harold y el lápiz mágico,2024,8
2024-11-15,Gladiator II,2024,9
2024-11-22,Wicked,2024,7
2024-11-29,Vaiana 2,2024,8
2024-12-05,El señor de los anillos: La guerra de los Rohirrim,2024,8.5
2024-12-13,Kraven the Hunter,2024,8
2024-12-20,Mufasa: El rey león,2024,10
2024-12-26,Sonic 3: La película,2024,9
2024-12-26,Mufasa: El rey león,2024,10
2025-01-02,Vigilante Diaries,2016,5
2025-01-03,El secreto de Anthony Zimmer,2005,3
2025-01-03,Arose Farari,2005,4
2025-01-03,Maternity Blues,2011,3
2025-01-03,The Sixth Reel,2021,5
2025-01-03,Mu mian jia sha,1985,6
2025-01-04,Asfalto,1981,2
2025-01-04,1999-nen no natsuyasumi,1988,2
2025-01-05,Blood de Brad Anderson,2022,4
2025-01-06,Historia de un soldado,1984,2
2025-01-06,Meet Ricky Gervais,2000,5
2025-01-07,To the Lighthouse,1983,1
2025-01-07,You Am I,2006,4
2025-01-09,Türkan,2010,3
2025-01-10,Lubie nietoperze,1985,1
2025-01-10,Redhead,2023,6
2025-01-10,The Ransom of Red Chief,1998,5
2025-01-12,Vchera,1988,1
2025-01-13,Jackpot,2013,4
2025-01-15,Schöne Frauen,2004,3
2025-01-15,Nodame Kantâbire: Saishuu-gakushou - Zenpen,2009,4
2025-01-15,Gundam Build Fighters,2013,6
2025-01-16,Najlepszy,2017,4
2025-01-18,La mejor jugada,1986,1
2025-01-18,Kyoko,1996,3
2025-01-20,Un largo camino a casa,1988,2
2025-01-20,Juego de niños,2012,4
2025-01-21,Robuste,2021,5
2025-01-21,Tales from Six Feet Under,2020,5
2025-01-22,La portuguesa,2018,3
2025-01-23,G,1983,2
2025-01-24,Colegas,1982,2
2025-01-24,Bröderna Mozart,1986,1
2025-01-25,La guerra dels corrents,2017,4
2025-01-25,The Redwood Massacre,2014,6
2025-01-25,The Ranganation,2019,6
2025-01-26,Seducir a Raquel,1989,1
2025-01-26,Kaadhal Parisu,1987,1
2025-01-26,El desafío americano,1984,1
2025-01-26,Años de pesadilla,1989,2
2025-01-28,Black Cloud,2004,4
2025-01-29,Once More,1997,3
2025-01-29,Shibuya kaidan,2004,3
2025-01-29,Rise of the TMNT Shorts,2019,5
2025-01-30,Zui ai,1986,1
2025-01-31,O bednom gusare zamolvite slovo,1981,2
2025-01-31,Love Stories in Sunflower Valley,2021,5
2025-02-01,La bella i la bèstia,1987,2
2025-02-01,Night Pulse,2018,4
2025-02-02,Christopher Roth,2010,3
2025-02-04,Be My Valentine,2013,4
2025-02-04,Dongalunnaru Jagratta,2022,5
2025-02-05,Grotesquerie,2024,3
2025-02-06,El violín,2005,3
2025-02-06,Avions,2013,6
2025-02-07,Si estuvieras aquí,1987,2
2025-02-09,Anjos do Arrabalde,1987,1
2025-02-09,French kiss,1995,4
2025-02-09,Murphy,2024,3
2025-02-09,Frode og alle de andre rødder,2008,5
2025-02-09,Shooting Vegetarians,2005,5
2025-02-10,Stan posiadania,1989,1
2025-02-10,Lizard Woman,2004,4
2025-02-10,Der Baulöwe,1980,5
2025-02-11,L'aventurer de mitjanit,1982,2
2025-02-11,Strumpet City,1980,1
2025-02-11,The Invitation,2003,3
2025-02-11,Vakáción a Mézga-család,1980,6
2025-02-12,Tiempo para un milagro,1980,2
2025-02-13,Problemas de mujeres,2009,5
2025-02-17,Adaminte Variyellu,1983,1
2025-02-19,Hjärtat,2018,4
2025-02-20,Quemadura en tercer grado,1989,1
2025-02-20,Crimen en portada,2002,3
2025-02-20,Ouija Shark,2020,4
2025-02-21,La chica de Nueva York,1982,1
2025-02-22,Orquídea salvaje,1989,1
2025-02-23,Nada es eterno,1984,1
2025-02-23,Intimo,1988,2
2025-02-25,El año que vivimos peligrosamente,1982,2
2025-02-25,Irma Vep,1996,3
2025-02-25,Tou tou cang bu zhu,2023,4
2025-02-25,Shadow Island,2023,4
2025-02-26,Noi tre,1984,1
2025-02-26,Sur,1988,2
2025-02-26,Tako se kalio celik,1988,2
2025-02-27,Las aventuras de Tom Sawyer,1986,1
2025-02-27,Ms. Marvel,2022,6
2025-02-28,Tellement proches,2009,3
2025-02-28,Los panzers de la muerte,1987,5
2025-03-01,The Fitzroy,2017,5
2025-03-02,Comme ton père,2007,5
2025-03-03,Chuzhaya belaya i ryaboy,1986,2
2025-03-03,Entrevista,1987,1
2025-03-03,La rosa de China,1983,1
2025-03-03,El león duerme esta noche,2017,4
2025-03-03,Feeling Butterflies,2022,5
2025-03-03,Nunca digas sí,2012,6
2025-03-03,5x Favela: Agora por Nós Mesmos,2010,6
2025-03-03,Becoming Dick,2000,5
2025-03-04,An Unexpected Son,2016,6
2025-03-06,Juillet août,2016,3
2025-03-07,The Hollowmen,2008,6
2025-03-08,Tarsi se saprug za mama,1985,1
2025-03-08,My Daughter Is a Zombie,2025,5
2025-03-08,Circus,2023,6
2025-03-09,Ander y Yul,1988,2
2025-03-09,Vanished,2011,5
2025-03-10,Ikinci pärdä,2018,4
2025-03-10,Scandalous,1984,6
2025-03-11,La comida del diablo,1996,6
2025-03-11,Stuck,2018,6
2025-03-13,Bir Kirik Bebek,1987,2
2025-03-13,Baby,2020,6
2025-03-14,El diario de la tortuga,1985,2
