Fecha,Titulo_ES,Año,Mi Nota
2025-03-15,Sharp as Marbles,2008,5
2025-03-15,Camille redouble,2012,5
2025-03-16,A Master Builder,2013,4
2025-03-17,Vivir a tope,1980,1
2025-03-17,A la mañana siguiente,1986,1
2025-03-17,Habitación sin salida 3,2010,3
2025-03-18,La última oportunidad,2017,4
2025-03-19,Un amor a Escòcia,2021,3
2025-03-19,KillHer,2022,6
2025-03-21,Dariya Dil,1988,1
2025-03-22,Kuan meun ho,2010,5
2025-03-22,Jaque mate,2015,6
2025-03-23,Chase in the dark,2022,5
2025-03-24,Hunt Club,2022,4
2025-03-24,El Silbón: Orígenes,2018,4
2025-03-26,En mitad del corazón,1988,1
2025-03-26,El éxito es la mejor venganza,1984,1
2025-03-26,Confesiones verdaderas,1981,1
2025-03-28,Sinistre,2012,5
2025-03-29,Perry Mason: El caso de la dama del lago,1988,2
2025-03-29,Salaam Bombay!,1988,2
2025-03-29,Viernes 13 IX: Jason se va al infierno,1993,3
2025-03-29,La Venganza,2002,3
2025-03-30,Hanau (Deutschland im Winter - Part 1),2022,3
2025-03-30,Come Home,2023,6
2025-03-30,A Snow White Christmas,2018,5
2025-03-31,Elegidos del gheto,1981,2
2025-03-31,La furia de Chicago,1980,5
2025-03-31,Gagman,1989,5
2025-04-01,El búnker: Los últimos días de Hitler,1981,1
2025-04-01,Inocencia machacada,1996,4
2025-04-02,Knights of God,1987,1
2025-04-02,Frazier Park Recut,2017,5
2025-04-02,Survive Style 5+,2004,6
2025-04-03,Chinas,2023,4
2025-04-05,Asih 2,2020,3
2025-04-05,Deudas de familia,2021,4
2025-04-05,La loi de Murphy,2009,6
2025-04-07,Charlatán,2020,4
2025-04-08,Le pactole,1985,2
2025-04-10,La huella de la noche,1981,2
2025-04-10,B.A.G. El Buen Amigo Gigante,1989,2
2025-04-10,Box,2015,3
2025-04-10,Kutukan Cakar Monyet,2023,6
2025-04-12,La chouette aveugle,1987,2
2025-04-12,Les guardianes,2017,3
2025-04-12,Iyilik,2022,3
2025-04-13,Too Late with Adam Carolla,2005,5
2025-04-14,Hebburn,2012,5
2025-04-16,Dead Body,2017,4
2025-04-16,La presa,1985,3
2025-04-16,CEOs Baby Mama Secretary,2025,3
2025-04-17,Ya Istiklal Ya Ölüm,2020,4
2025-04-18,El menú,2022,3
2025-04-18,Quick Draw,2013,6
2025-04-19,La brigada de Sharky,1981,5
2025-04-20,The Ecstasy of Isabel Mann,2012,6
2025-04-21,El astuto,1987,2
2025-04-22,Kamenskaya - 1,1999,3
2025-04-22,Noche de fin de año,2011,3
2025-04-22,Demon Keeper,1994,4
2025-04-23,Ciudad Alfabeto,1984,2
2025-04-23,El caso de la dama asesinada,1987,1
2025-04-23,American Odyssey,2015,5
2025-04-23,Miami Blues,1990,6
2025-04-24,A fuego lento,2023,4
2025-04-25,La discoteca,1983,1
2025-04-26,Jin hou xiang yao,1985,1
2025-04-27,Frank & Wendy,2004,6
2025-04-27,My Daddy's in Heaven,2017,6
2025-04-28,Grandes esperanzas,1989,1
2025-04-29,Lunastus,1997,4
2025-04-30,Dzieci i ryby,1997,6
2025-05-01,Love Shagun,2016,6
2025-05-02,Más allá del miedo,1983,2
2025-05-03,Lucy,1982,1
2025-05-03,Un quinteto a lo loco,1982,2
2025-05-03,L.A. Zombie,2010,4
2025-05-04,Pequeño círculo de amigos,1980,2
2025-05-04,Maala Yogam,1990,3
2025-05-04,The Unsettling,2022,4
2025-05-05,Una novia muy especial,2012,4
2025-05-05,100 Ghost Street: The Return of Richard Speck,2012,6
2025-05-07,Oohalu Gusagusalade,2014,3
2025-05-07,Los supervivientes,2022,5
2025-05-08,Vidas perfectas,2024,6
2025-05-09,Compañeros,1986,2
2025-05-09,Bella ciao,2001,4
2025-05-09,Escondidas,2013,4
2025-05-09,Cubed,2009,6
2025-05-10,Angelic Conversation,1985,2
2025-05-10,Baby Assassins: Nice Days,2024,5
2025-05-12,Ilzaam,1986,1
2025-05-12,Padre e hijos,2003,6
2025-05-13,Hôtel Normandy,2013,4
2025-05-13,Roofied,2017,5
2025-05-15,Norma Jean y Marilyn,1996,4
2025-05-15,Far til Fire - I Stor Stil,2006,5
2025-05-17,El príncipe de Bel Air,1986,1
2025-05-18,Mielött befejezi röptét a denevér,1989,1
2025-05-18,Kizlar Sinifi,1984,1
2025-05-18,Sukkubus - den Teufel im Leib,1989,1
2025-05-19,Han jia,2010,3
2025-05-21,I Wonder Who's Kissing You Now,1998,6
2025-05-23,Cosas que nunca te dije,1996,5
2025-05-23,Una altra ronda,2020,5
2025-05-24,Elliot,1983,1
2025-05-24,Montaña,2012,6
2025-05-25,Capitán Cook,1987,2
2025-05-25,La venganza de una hermana,2013,3
2025-05-25,Condesa Drácula,1988,4
2025-05-26,La pasión de Béatrice,1987,2
2025-05-26,La ganadora,2005,4
2025-05-26,Secreto de estado,2012,5
2025-05-27,Tree of Heaven,2006,4
2025-05-27,Los días particulares,2019,6
2025-05-29,Muerte bajo el sol,1982,2
2025-05-29,Entry Level,2007,6
2025-05-30,Kuryer,1986,1
2025-05-31,Lekhayude Maranam: Oru Flashback,1983,2
2025-05-31,Survive Style 5+,2004,5
2025-05-31,Baa Baaa Black Sheep,2018,6
2025-05-31,Beauty in the Broken,2015,6
2025-06-01,Thanatomorphose,2012,3
2025-06-02,Love That Girl!,2010,6
2025-06-02,Lost in Karastan,2014,6
2025-06-03,Big Brother,2020,6
2025-06-04,Memed mi halcón,1984,2
2025-06-05,Baron noir,2016,3
2025-06-05,Sadako 3D 2,2013,6
2025-06-06,Calle P,1985,1
2025-06-06,Madre Oscura,2019,3
2025-06-09,Sueños olvidados,2017,4
2025-06-10,Kiklop,1982,1
2025-06-12,Oracle,2023,6
2025-06-13,Kaatteri,2022,6
2025-06-14,Una broma peligrosa,1988,2
2025-06-14,Invisible,2017,4
2025-06-15,Suncokreti,1988,1
2025-06-15,Grindsploitation 3: Video Nasty,2017,6
2025-06-16,City Lights,1984,5
2025-06-17,Prem Pratigyaa,1989,2
2025-06-18,Class 8,2003,4
2025-06-18,2 States,2014,4
2025-06-19,Rams,2020,4
2025-06-19,Hashtag Proposal,2023,5
2025-06-20,La gloria de mi padre,1990,6
2025-06-22,Sweetwater,1988,1
2025-06-24,Diet of Sex,2014,4
2025-06-24,Segunda oportunidad,1997,4
2025-06-25,Wedding March 2: Resorting to Love,2017,5
2025-06-25,Fallen Stars,2017,5
2025-06-25,Gekijo-ban Non Non Biyori: Vacation,2018,5
2025-06-26,Esperando a Míster Bojangles,2021,4
2025-06-26,The Lost Tribe,1983,4
2025-06-27,Seven Devils,2015,6
2025-06-28,Bienvenido a tu funeral,1983,1
2025-06-28,Curse of Humpty Dumpty 3,2023,3
2025-06-28,1987,2014,3
2025-06-29,Biganeh,2014,4
2025-07-01,Los buenos tiempos,1986,1
2025-07-01,Avance a cota cero,1989,1
2025-07-01,Gats,2018,6
2025-07-02,Den kroniske uskyld,1985,1
2025-07-04,Running Out of Luck,1985,1
2025-07-04,La venganza de una rubia,1994,6
2025-07-07,Prisioneros de la muerte,1988,2
2025-07-07,Guy,1996,4
2025-07-07,Juana de Arco I - Las batallas,1994,4
2025-07-07,Dos días en Nueva York,2012,5
2025-07-07,Mis hijos valen oro,2024,6
2025-07-08,Carta de Navidad,2015,3
2025-07-09,A Teia de Gelo,2012,3
2025-07-09,Todos tus secretos,2014,6
2025-07-11,Mis problemas con las mujeres,1983,1
2025-07-12,Die Perlmutterfarbe,2009,4
2025-07-13,El último metro,1980,1
2025-07-13,The Marry Me Pact,2023,3
2025-07-13,El aroma del pasto recién cortado,2024,3
2025-07-13,El páramo,2011,6
2025-07-14,El harén del sultán,1986,1
2025-07-14,Puraido,2004,4
2025-07-15,Daiamondo wa kizutsukanai,1982,1
2025-07-15,Los motivos de Luz,1985,1
2025-07-15,Posesión infernal: El despertar,2023,4
2025-07-15,Vom Suchen und Finden der Liebe,2005,5
2025-07-16,Chui lian ting zheng,1983,1
2025-07-16,Cane River,1982,2
2025-07-17,Wsciekly,1980,1
2025-07-17,El espantapájaros y la señora King,1983,2
2025-07-19,Nasvidenje v naslednji vojni,1980,2
2025-07-19,Ven y mira,1985,1
2025-07-20,Los últimos días de Patton,1986,1
2025-07-20,Ek Ghar,1991,4
2025-07-20,Un país a l'Àfrica,2004,3
2025-07-20,XIII,2019,5
2025-07-21,Un grito de ayuda,1989,2
2025-07-21,Vent d'est,1993,3
2025-07-23,El gran azul,1988,2
2025-07-23,Yürek Yarasi,1983,1
2025-07-23,Love,2005,3
2025-07-23,St. Patrick's Day,1997,6
2025-07-24,Delirio,2025,3
2025-07-25,Kanjoos Makhichoos,2023,6
2025-07-27,Desventuras de un recluta inocente,1988,2
2025-07-27,Break a Leg,2005,6
2025-07-28,Parviz,2012,4
2025-07-28,El meu fill i jo,2011,5
2025-07-28,Les vacances du petit Nicolas,2014,6
2025-07-29,Four Days in July,1984,2
2025-07-29,En el nom del pare,1993,4
2025-07-29,Neeyat,2023,4
2025-07-30,Fox,1980,1
2025-07-30,Blumhouse. Jóvenes y brujas,2020,4
2025-07-30,Lobo,2018,5
2025-07-31,La odisea,1992,3
2025-08-01,Capone tras las rejas,1989,1
2025-08-02,L'autre Dumas,2010,4
2025-08-02,8-Ball,2013,4
2025-08-02,Shatamanam Bhavati,2017,3
2025-08-03,Rickshawala,2021,4
2025-08-03,Babli,2024,4
2025-08-05,Chor Chor,2024,5
2025-08-06,Topos,1985,1
2025-08-06,Medea,1988,1
2025-08-06,Dil Hai Ki Manta Nahin,1991,4
2025-08-06,Valiant,2005,5
2025-08-07,Como agua para chocolate,1992,4
2025-08-08,Samsaaram Oka Chadarangam,1987,1
2025-08-08,Ha-Chaverim Shel Yana,1999,6
2025-08-09,Mi vida es mía,1981,2
2025-08-10,Murderock. Danza mortal,1984,3
2025-08-10,La vida en la Tierra,1998,4
2025-08-10,Pelt,2010,3
2025-08-11,Furia asesina,1987,5
2025-08-12,Kattathe Kilikoodu,1983,2
2025-08-13,Los seductores,1980,1
2025-08-13,Kimi ni shika kikoenai,2007,4
2025-08-13,Los padrinos mágicos,2001,6
2025-08-14,Patriota,2015,6
2025-08-15,Kal: Yesterday and Tomorrow,2005,4
2025-08-15,Lost,2022,5
2025-08-15,Christmas Movie Magic,2021,5
2025-08-16,Georgia,1981,1
2025-08-16,El arco iris,1989,2
2025-08-16,Bulldog,2022,3
2025-08-17,Dance to Win,1989,2
2025-08-17,Skazka stranstviy,1983,2
2025-08-17,Lalsalu,2001,6
2025-08-17,Honsoom,2016,6
2025-08-18,Freddy's Fridays,2023,4
2025-08-18,Svengali,2013,5
2025-08-19,Gullak,2019,3
2025-08-19,Der Kameramörder,2010,4
2025-08-20,Xiao shi dai 3: Ci jin shi dai,2014,3
2025-08-20,Lobo vikingo,2022,6
2025-08-21,Munthanai Mudichu,1983,2
2025-08-21,Brutal,1980,2
2025-08-21,Chastnaya zhizn,1982,2
2025-08-21,El regreso. Un caso de posesión,1985,1
2025-08-21,Call TV,2017,4
2025-08-21,Pool,2020,3
2025-08-21,Bad Ben: Steelmanville Road,2017,6
2025-08-22,Living with the Dead: A Love Story,2015,4
2025-08-22,Una chica de ensueño,1989,6
2025-08-23,Anillos de oro,1983,2
2025-08-23,Los secretos de mi familia,2021,5
2025-08-24,Atracción brutal,1984,1
2025-08-24,Silencio de cristal,1989,2
2025-08-24,El ataque de los donuts asesinos,2016,5
2025-08-25,La ciudadela,1983,2
2025-08-25,Standard Time,2002,3
2025-08-27,Nagina,1986,2
2025-08-27,Antareen,1993,4
2025-08-28,Valentina,1981,2
2025-08-28,Al final del poder,1988,5
2025-08-30,Huida a ninguna parte,1996,4
2025-08-30,Tales of Frankenstein,2018,3
2025-08-30,Némesis de Clank,2014,6
2025-08-31,The Gin Game,1981,2
2025-08-31,Frankenstein's Bloody Nightmare,2006,4
2025-09-02,La novia que surgió del frío,1983,1
2025-09-03,Poovizhi Vasalile,1987,2
2025-09-03,Oasis,2002,3
2025-09-03,Veera Prathap,1987,5
2025-09-04,Crackcoon,2024,6
2025-09-04,Brutal persecución,1989,6
2025-09-05,Destinos sin rumbo,1982,2
2025-09-05,The Dark Knight: The Ballad of the N Word,2018,6
2025-09-06,Al límit de la sospita,1985,2
2025-09-06,X,1986,2
2025-09-06,A Kiss at Midnight,2008,4
2025-09-07,Endorphine,2015,4
2025-09-07,Hometown Holiday,2018,6
2025-09-08,La entrenadora personal,2013,5
2025-09-09,El mar de árboles,2015,4
2025-09-09,Banzai,2001,6
2025-09-11,Ranganayaki,1981,1
2025-09-11,Ruby Bridges,1998,4
2025-09-12,Cocaína: Un veneno para el hombre,1983,2
2025-09-13,I Like to Play Games Too,1999,3
2025-09-13,Navidad en la mansión Pemberley,2018,5
2025-09-14,Committee Kurrollu,2024,4
2025-09-14,Blondinka za uglom,1984,6
2025-09-19,Al acecho,2013,3
2025-09-21,Los Chouans,1988,1
2025-09-21,El duodécimo hombre,2017,3
2025-09-22,Una àrida estació blanca,1989,2
2025-09-22,Kimurake no hitobito,1988,1
2025-09-23,Brigands-Chapter VII (La mujer ha salido para engañar a su marido),1996,5
2025-09-24,A casa tutti bene,2018,4
2025-09-24,Brave Citizen,2023,6
2025-09-25,Twenty One Grams,2022,6
2025-09-26,Cookie,2020,5
2025-09-27,Ojos de fuego,1983,2
2025-09-27,Christmas in Wolf Creek,2022,5
2025-09-27,Andhhagadu,2017,5
2025-09-28,Dhavani Kannavukal,1984,1
2025-09-28,Yavrularim,1984,1
2025-09-29,Rocky 4,1985,1
2025-09-29,Los últimos días de Oblomov,1980,1
2025-09-30,To Azadi,2001,4
2025-10-01,Santa Bárbara,1984,2
2025-10-01,La tierra y la sombra,2015,4
2025-10-02,Vincent,2014,6
2025-10-04,The Silence,2019,4
2025-10-04,Runaway Christmas Bride,2017,5
2025-10-04,Huldra: Lady of the Forest,2016,5
2025-10-04,Kirâ vâjin rôdo,2009,5
2025-10-05,Sola con un extraño,2000,4
2025-10-06,Nascut el 4 de juliol,1989,2
2025-10-06,Dil Jo Na Keh Saka,2017,4
2025-10-07,Les trois couronnes du matelot,1982,1
2025-10-08,Princess Warrior,1989,2
2025-10-08,Zendegi-e Khosousi-e Agha Va Khanom-e Mim,2012,4
2025-10-08,Todo es relativo,2014,3
2025-10-08,November Story,2021,5
2025-10-08,Ingyeogongjoo,2014,5
2025-10-09,Vecinos,1985,2
2025-10-09,Scorpio Nights 2,1999,3
2025-10-11,The Wish Makers of West Hollywood,2011,3
2025-10-11,Al filo de la navaja,1985,5
2025-10-12,Cleavagefield,2009,3
2025-10-13,Samo zycie,2002,4
2025-10-14,El precio de la pasión,1988,2
2025-10-14,Murder in the Dark,2013,5
2025-10-15,Gong zi duo qing,1988,2
2025-10-15,Un lugar llamado Cold Sassy,1989,1
2025-10-15,Kasaba,1997,4
2025-10-15,Free Fire,2016,5
2025-10-15,Frostbitten: 30 días de noche,2006,6
2025-10-16,Recuerdos peligrosos,2000,4
2025-10-16,Jo soc el Pare Noel,2021,6
2025-10-16,Anwar Ka Ajab Kissa,2013,6
2025-10-16,Dirty Tricks,1989,6
2025-10-17,Dr. Heckyl y Mr. Hype,1980,2
2025-10-17,Hitler's Hollywood: El cine alemán en la era de la propaganda,2017,4
2025-10-17,Da Tang Xuan Zang,2016,3
2025-10-17,¿Qué pasa con Andy?,2001,5
2025-10-17,Smoking Guns,2016,5
2025-10-19,Ek Duuje Ke Liye,1981,1
2025-10-19,¡Nop!,2022,6
2025-10-20,Les convoyeurs attendent,1999,5
2025-10-21,Zendegi-e Khosousi-e Agha Va Khanom-e Mim,2012,3
2025-10-21,Smiley,2012,5
2025-10-23,El misterio de Natalie Wood,2004,4
2025-10-24,System ohne Schatten,1983,1
2025-10-25,La historia secreta de Mussolini,1985,1
2025-10-25,Apáñatelas como puedas,1981,5
2025-10-25,My Little Nightmare,2024,5
2025-10-27,Zadah tela,1983,1
2025-10-27,Novogodniy shef,2023,5
2025-10-27,Santa Claus 3: Por una Navidad sin frío,2006,6
2025-10-28,Desenfunda,1984,2
2025-10-28,The Fox,2017,4
2025-10-28,Krampus: The Christmas Devil,2013,5
2025-10-28,Cheppalani Undhi,2022,5
2025-10-29,Intensive Care,1991,4
2025-10-30,Werther,1986,2
2025-10-31,Koomikko,1983,1
2025-10-31,God's Acre,2015,4
2025-11-01,Amables recuerdos,1983,2
2025-11-01,La sombra del poder,2003,3
2025-11-01,Der Fall Marianne Voss,2024,4
2025-11-01,York Witches' Society,2022,6
2025-11-02,Signum Laudis,1980,1
2025-11-02,Per sobre de la llei,1988,5
2025-11-03,Yavrularim,1984,2
2025-11-04,Derecho a matar,1985,1
2025-11-04,Young People Fucking,2007,6
2025-11-06,Trauma Therapy: Psychosis,2023,4
2025-11-06,Tengo algo que deciros,2010,5
2025-11-06,Shehzada,2023,6
2025-11-06,Carole's Christmas,2019,6
2025-11-06,Foster's Home for Imaginary Friends: Destination Imagination,2008,6
2025-11-07,Akelarre,1984,1
2025-11-07,El club de los cinco,1985,2
2025-11-07,Last Ounce of Courage,2012,4
2025-11-07,Out of Order,2003,3
2025-11-08,A Menina e o Estuprador,1983,1
2025-11-08,Scully,1984,1
2025-11-09,Héctor y el secreto de la felicidad,2014,6
2025-11-10,Sposerò Simon Le Bon - Confessioni di una sedicenne innamorata persa dei Duran Duran,1986,1
2025-11-12,Loco por ti,1985,1
2025-11-13,Cuerpo en el bosque,1996,3
2025-11-13,Cleaver: Rise of the Killer Clown,2015,6
2025-11-17,Ada,1988,1
2025-11-17,Ömheten,2013,4
2025-11-18,Sakalakala Vallavan,1982,2
2025-11-19,Turbulencia,1997,4
2025-11-21,Agatha Christie: Poirot,1989,2
2025-11-21,A Million Little Things,2018,3
2025-11-22,Fabricando al hombre perfecto,1987,2
2025-11-22,Turistes,2006,4
2025-11-22,Jarugandi,2018,6
2025-11-24,Aunt Peg,1980,6
2025-11-24,Sigue soñando,1990,6
2025-11-25,8 Uhr 28,2010,3
2025-11-27,Ir a perderlo... y perderse,1982,2
2025-11-28,Bar MoskvaChiki,2024,5
2025-11-28,The Soup,2004,5
2025-11-29,Krishnopokkho,2016,3
2025-11-29,El protector,1985,6
2025-11-29,Parasitic,2012,5
2025-11-30,The Ghost in the Darkness,2019,4
2025-11-30,Identicals,2015,6
2025-12-01,As Dreamers Do,2014,4
2025-12-02,Apuesta,2025,4
2025-12-03,El secuestro del presidente,1980,4
2025-12-05,Separate Tables,1983,2
2025-12-05,Gummi-Tarzan,1981,1
2025-12-07,Foujita,2015,4
2025-12-07,One Dead Indian,2006,4
2025-12-08,Pretty Boy,2021,3
2025-12-08,Oass,2012,4
2025-12-08,Oriente es oriente,1999,6
2025-12-09,Gwong Chow sat yan wong: Yan pei yat gei,1995,4
2025-12-09,Outlaws,2004,5
2025-12-10,Pasaje a la India,1984,1
2025-12-10,La peligrosa vida de los altar boys,2002,3
2025-12-11,Gipeuteodeu,2014,6
2025-12-13,El ojo del delfín,2006,4
2025-12-13,Sik ching nam lui,1996,6
2025-12-15,Indrudu Chandrudu,1989,1
2025-12-16,Corazón (Heart),1987,1
2025-12-19,Dama Libertina,1984,1
2025-12-19,Playa prohibida,1985,2
2025-12-19,Love Ke Liye Kuch Bhi Karega,2001,6
2025-12-20,El desastre del Challenger,2013,3
2025-12-20,Caza mayor,2014,6
2025-12-20,Juego peligroso,1988,6
2025-12-21,Swati,1986,2
2025-12-21,They Remain,2018,3
2025-12-21,Brooklyn Brothers Beat the Best,2011,6
2025-12-22,Kindergarten,1989,1
2025-12-23,Evasión o victoria,1981,1
2025-12-23,Soy o no soy,1983,1
2025-12-24,John and the Missus,1986,2
2025-12-24,Llamada perdida,2003,4
2025-12-24,The 8 Show,2024,3
2025-12-25,Unknown Land,2012,4
2025-12-27,1969,1988,2
2025-12-29,Smertelniye illyuzii,2020,6
2025-12-30,Muddy,2021,6
2025-12-31,Imposible recordar,1988,1
2026-01-01,Jack's Apocalypse,2015,4
2026-01-01,Kendra and Beth,2021,5